timestamp,cpu,memory
1752005756,0.00%,0.46%
1752005757,54.25%,0.46%
1752005759,56.05%,0.46%
1752005762,55.09%,0.46%
1752005764,55.39%,0.46%
1752005766,53.24%,0.46%
1752005768,54.74%,0.46%
1752005770,54.22%,0.46%
1752005772,54.23%,0.46%
1752005774,53.58%,0.46%
1752005776,52.79%,0.46%
1752005778,55.13%,0.46%
1752005780,53.61%,0.46%
1752005782,57.96%,0.46%
1752005784,56.40%,0.46%
1752005786,56.81%,0.46%
1752005788,50.87%,0.46%
1752005790,50.43%,0.46%
1752005792,55.78%,0.46%
1752005794,51.88%,0.46%
1752005796,54.68%,0.46%
1752005798,58.17%,0.46%
1752005800,57.61%,0.46%
1752005802,57.34%,0.46%
1752005804,55.89%,0.46%
1752005806,53.37%,0.46%
1752005808,53.92%,0.46%
1752005810,56.25%,0.46%
1752005812,55.72%,0.46%
1752005814,60.03%,0.46%
1752005816,31.90%,0.46%
1752005818,0.00%,0.46%
