timestamp,cpu,memory
1752005820,1.10%,0.22%
1752005822,2.69%,0.22%
1752005824,2.68%,0.22%
1752005826,4.23%,0.17%
1752005828,3.17%,0.18%
1752005830,4.06%,0.18%
1752005832,3.66%,0.18%
1752005834,3.19%,0.18%
1752005836,3.16%,0.19%
1752005838,3.23%,0.19%
1752005840,4.64%,0.19%
1752005842,3.07%,0.19%
1752005844,3.36%,0.19%
1752005846,3.54%,0.20%
1752005848,3.30%,0.20%
1752005850,3.25%,0.20%
1752005852,4.92%,0.20%
1752005854,8.19%,0.20%
1752005856,3.06%,0.20%
1752005858,3.11%,0.20%
1752005860,3.77%,0.20%
1752005862,4.50%,0.20%
1752005864,3.00%,0.20%
1752005866,3.22%,0.21%
1752005868,3.08%,0.21%
1752005870,4.07%,0.21%
1752005872,3.02%,0.22%
1752005874,3.22%,0.22%
1752005876,3.17%,0.22%
1752005878,3.18%,0.22%
1752005880,0.01%,0.22%
