timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747423937759,64,HTTP Request,201,Created,Thread Group 1-1,text,true,,475,233,2,2,http://localhost:8000/api/messages,64,0,11
1747423937789,50,HTTP Request,500,Created,Thread Group 1-2,text,true,,475,233,1,1,http://localhost:8000/api/messages,50,0,0
1747423937880,63,HTTP Request,201,Created,Thread Group 1-3,text,true,,479,237,1,1,http://localhost:8000/api/messages,63,0,0
1747423937880,66,HTTP Request,201,Created,Thread Group 1-4,text,true,,475,233,1,1,http://localhost:8000/api/messages,65,0,1
1747423937880,54,HTTP Request,201,Created,Thread Group 1-5,text,true,,483,241,1,1,http://localhost:8000/api/messages,54,0,1
1747423937880,70,HTTP Request,500,Created,Thread Group 1-6,text,true,,475,233,1,1,http://localhost:8000/api/messages,70,0,1
1747423937880,57,HTTP Request,201,Created,Thread Group 1-7,text,true,,483,241,1,1,http://localhost:8000/api/messages,57,0,1
1747423937880,69,HTTP Request,201,Created,Thread Group 1-8,text,true,,474,232,1,1,http://localhost:8000/api/messages,69,0,1
1747423937880,63,HTTP Request,201,Created,Thread Group 1-9,text,true,,480,238,1,1,http://localhost:8000/api/messages,63,0,1
1747423938532,60,HTTP Request,201,Created,Thread Group 1-10,text,true,,556,314,1,1,http://localhost:8000/api/messages,59,0,2
1747423938621,69,HTTP Request,201,Created,Thread Group 1-11,text,true,,476,233,1,1,http://localhost:8000/api/messages,68,0,1
1747423938718,64,HTTP Request,201,Created,Thread Group 1-12,text,true,,476,233,1,1,http://localhost:8000/api/messages,64,0,1
1747423938718,71,HTTP Request,201,Created,Thread Group 1-13,text,true,,476,233,1,1,http://localhost:8000/api/messages,71,0,1
1747423938718,62,HTTP Request,201,Created,Thread Group 1-14,text,true,,489,246,1,1,http://localhost:8000/api/messages,61,0,1
1747423938994,59,HTTP Request,201,Created,Thread Group 1-15,text,true,,477,234,1,1,http://localhost:8000/api/messages,59,0,1
1747423939088,91,HTTP Request,201,Created,Thread Group 1-16,text,true,,476,233,2,2,http://localhost:8000/api/messages,90,0,1
1747423939177,69,HTTP Request,201,Created,Thread Group 1-17,text,true,,491,248,1,1,http://localhost:8000/api/messages,69,0,1
1747423939454,60,HTTP Request,500,Created,Thread Group 1-18,text,true,,544,301,1,1,http://localhost:8000/api/messages,60,0,1
1747423939454,69,HTTP Request,201,Created,Thread Group 1-19,text,true,,490,247,1,1,http://localhost:8000/api/messages,69,0,1
1747423939454,65,HTTP Request,201,Created,Thread Group 1-20,text,true,,483,240,1,1,http://localhost:8000/api/messages,65,0,1
1747423939549,81,HTTP Request,201,Created,Thread Group 1-21,text,true,,542,299,1,1,http://localhost:8000/api/messages,81,0,1
1747423939641,59,HTTP Request,201,Created,Thread Group 1-22,text,true,,475,232,1,1,http://localhost:8000/api/messages,59,0,1
1747423939737,58,HTTP Request,201,Created,Thread Group 1-23,text,true,,503,260,1,1,http://localhost:8000/api/messages,58,0,1
1747423939828,73,HTTP Request,500,Created,Thread Group 1-24,text,true,,480,237,1,1,http://localhost:8000/api/messages,73,0,1
1747423939916,64,HTTP Request,201,Created,Thread Group 1-25,text,true,,476,233,1,1,http://localhost:8000/api/messages,63,0,1
1747423940015,79,HTTP Request,201,Created,Thread Group 1-26,text,true,,489,246,1,1,http://localhost:8000/api/messages,78,0,1
1747423940110,62,HTTP Request,201,Created,Thread Group 1-27,text,true,,484,241,1,1,http://localhost:8000/api/messages,61,0,1
1747423940197,60,HTTP Request,201,Created,Thread Group 1-28,text,true,,490,247,1,1,http://localhost:8000/api/messages,60,0,1
1747423940294,75,HTTP Request,201,Created,Thread Group 1-29,text,true,,484,241,1,1,http://localhost:8000/api/messages,75,0,1
1747423940382,72,HTTP Request,201,Created,Thread Group 1-30,text,true,,498,255,1,1,http://localhost:8000/api/messages,71,0,1
1747423940477,70,HTTP Request,201,Created,Thread Group 1-31,text,true,,538,295,1,1,http://localhost:8000/api/messages,69,0,1
1747423940573,76,HTTP Request,201,Created,Thread Group 1-32,text,true,,488,245,1,1,http://localhost:8000/api/messages,76,0,1
1747423940660,56,HTTP Request,201,Created,Thread Group 1-33,text,true,,496,253,1,1,http://localhost:8000/api/messages,56,0,1
1747423940752,62,HTTP Request,201,Created,Thread Group 1-34,text,true,,499,256,1,1,http://localhost:8000/api/messages,62,0,1
1747423940848,64,HTTP Request,201,Created,Thread Group 1-35,text,true,,485,242,1,1,http://localhost:8000/api/messages,64,0,1
1747423940942,60,HTTP Request,201,Created,Thread Group 1-36,text,true,,475,232,1,1,http://localhost:8000/api/messages,60,0,1
1747423941036,58,HTTP Request,201,Created,Thread Group 1-37,text,true,,479,236,1,1,http://localhost:8000/api/messages,58,0,1
1747423941127,68,HTTP Request,500,Created,Thread Group 1-38,text,true,,510,267,1,1,http://localhost:8000/api/messages,67,0,1
1747423941220,62,HTTP Request,201,Created,Thread Group 1-39,text,true,,495,252,1,1,http://localhost:8000/api/messages,62,0,1
1747423941314,68,HTTP Request,201,Created,Thread Group 1-40,text,true,,487,244,1,1,http://localhost:8000/api/messages,68,0,1
1747423941405,60,HTTP Request,500,Created,Thread Group 1-41,text,true,,482,239,1,1,http://localhost:8000/api/messages,59,0,1
1747423941495,71,HTTP Request,201,Created,Thread Group 1-42,text,true,,481,238,1,1,http://localhost:8000/api/messages,71,0,0
1747423941586,62,HTTP Request,201,Created,Thread Group 1-43,text,true,,490,247,1,1,http://localhost:8000/api/messages,62,0,1
1747423941682,73,HTTP Request,201,Created,Thread Group 1-44,text,true,,513,270,1,1,http://localhost:8000/api/messages,73,0,1
1747423941771,59,HTTP Request,201,Created,Thread Group 1-45,text,true,,490,247,1,1,http://localhost:8000/api/messages,59,0,1
1747423941866,68,HTTP Request,201,Created,Thread Group 1-46,text,true,,480,237,1,1,http://localhost:8000/api/messages,68,0,1
1747423941962,72,HTTP Request,201,Created,Thread Group 1-47,text,true,,490,247,1,1,http://localhost:8000/api/messages,71,0,1
1747423942054,62,HTTP Request,201,Created,Thread Group 1-48,text,true,,473,230,1,1,http://localhost:8000/api/messages,62,0,1
1747423942145,68,HTTP Request,201,Created,Thread Group 1-49,text,true,,496,253,1,1,http://localhost:8000/api/messages,68,0,1
