timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747424000765,18,HTTP Request,201,Created,Thread Group 1-1,text,true,,370,233,1,1,http://localhost:3000/api/messages,17,0,11
1747424000811,2,HTTP Request,201,Created,Thread Group 1-2,text,true,,370,233,1,1,http://localhost:3000/api/messages,2,0,0
1747424000898,4,HTTP Request,201,Created,Thread Group 1-3,text,true,,375,237,1,1,http://localhost:3000/api/messages,4,0,1
1747424000992,6,HTTP Request,201,Created,Thread Group 1-4,text,true,,370,233,1,1,http://localhost:3000/api/messages,6,0,1
1747424001083,6,HTTP Request,201,Created,Thread Group 1-5,text,true,,379,241,1,1,http://localhost:3000/api/messages,6,0,1
1747424001177,7,HTTP Request,201,Created,Thread Group 1-6,text,true,,370,233,1,1,http://localhost:3000/api/messages,7,0,1
1747424001272,7,HTTP Request,201,Created,Thread Group 1-7,text,true,,379,241,1,1,http://localhost:3000/api/messages,7,0,1
1747424001364,7,HTTP Request,201,Created,Thread Group 1-8,text,true,,369,232,1,1,http://localhost:3000/api/messages,7,0,1
1747424001461,6,HTTP Request,201,Created,Thread Group 1-9,text,true,,376,238,1,1,http://localhost:3000/api/messages,6,0,1
1747424001547,8,HTTP Request,201,Created,Thread Group 1-10,text,true,,451,314,1,1,http://localhost:3000/api/messages,8,0,1
1747424001641,6,HTTP Request,201,Created,Thread Group 1-11,text,true,,370,233,1,1,http://localhost:3000/api/messages,6,0,1
1747424001733,6,HTTP Request,201,Created,Thread Group 1-12,text,true,,370,233,1,1,http://localhost:3000/api/messages,6,0,1
1747424001828,6,HTTP Request,201,Created,Thread Group 1-13,text,true,,370,233,1,1,http://localhost:3000/api/messages,6,0,1
1747424001917,5,HTTP Request,201,Created,Thread Group 1-14,text,true,,384,246,1,1,http://localhost:3000/api/messages,5,0,1
1747424002012,7,HTTP Request,201,Created,Thread Group 1-15,text,true,,371,234,1,1,http://localhost:3000/api/messages,7,0,2
1747424002107,7,HTTP Request,201,Created,Thread Group 1-16,text,true,,370,233,1,1,http://localhost:3000/api/messages,7,0,1
1747424002199,6,HTTP Request,201,Created,Thread Group 1-17,text,true,,386,248,1,1,http://localhost:3000/api/messages,6,0,1
1747424002289,6,HTTP Request,201,Created,Thread Group 1-18,text,true,,439,301,1,1,http://localhost:3000/api/messages,6,0,1
1747424002382,7,HTTP Request,201,Created,Thread Group 1-19,text,true,,385,247,1,1,http://localhost:3000/api/messages,7,0,1
1747424002476,6,HTTP Request,201,Created,Thread Group 1-20,text,true,,378,240,1,1,http://localhost:3000/api/messages,6,0,1
1747424002570,7,HTTP Request,201,Created,Thread Group 1-21,text,true,,437,299,1,1,http://localhost:3000/api/messages,7,0,1
1747424002662,8,HTTP Request,201,Created,Thread Group 1-22,text,true,,369,232,1,1,http://localhost:3000/api/messages,8,0,1
1747424002755,6,HTTP Request,201,Created,Thread Group 1-23,text,true,,398,260,1,1,http://localhost:3000/api/messages,6,0,1
1747424002846,6,HTTP Request,201,Created,Thread Group 1-24,text,true,,375,237,1,1,http://localhost:3000/api/messages,6,0,1
1747424002938,6,HTTP Request,201,Created,Thread Group 1-25,text,true,,370,233,1,1,http://localhost:3000/api/messages,6,0,1
1747424003030,3,HTTP Request,201,Created,Thread Group 1-26,text,true,,384,246,1,1,http://localhost:3000/api/messages,3,0,1
1747424003127,2,HTTP Request,201,Created,Thread Group 1-27,text,true,,379,241,1,1,http://localhost:3000/api/messages,2,0,1
1747424003216,2,HTTP Request,201,Created,Thread Group 1-28,text,true,,385,247,1,1,http://localhost:3000/api/messages,2,0,0
1747424003310,3,HTTP Request,201,Created,Thread Group 1-29,text,true,,379,241,1,1,http://localhost:3000/api/messages,3,0,1
1747424003406,7,HTTP Request,201,Created,Thread Group 1-30,text,true,,393,255,1,1,http://localhost:3000/api/messages,7,0,1
1747424003499,7,HTTP Request,201,Created,Thread Group 1-31,text,true,,433,295,1,1,http://localhost:3000/api/messages,7,0,1
1747424003591,6,HTTP Request,201,Created,Thread Group 1-32,text,true,,383,245,1,1,http://localhost:3000/api/messages,6,0,1
1747424003682,8,HTTP Request,201,Created,Thread Group 1-33,text,true,,391,253,1,1,http://localhost:3000/api/messages,7,0,1
1747424003774,6,HTTP Request,201,Created,Thread Group 1-34,text,true,,394,256,1,1,http://localhost:3000/api/messages,6,0,1
1747424003870,5,HTTP Request,201,Created,Thread Group 1-35,text,true,,380,242,1,1,http://localhost:3000/api/messages,5,0,1
1747424003960,7,HTTP Request,201,Created,Thread Group 1-36,text,true,,369,232,1,1,http://localhost:3000/api/messages,7,0,1
1747424004053,6,HTTP Request,201,Created,Thread Group 1-37,text,true,,374,236,1,1,http://localhost:3000/api/messages,6,0,1
1747424004149,6,HTTP Request,201,Created,Thread Group 1-38,text,true,,405,267,1,1,http://localhost:3000/api/messages,6,0,1
1747424004244,6,HTTP Request,201,Created,Thread Group 1-39,text,true,,390,252,1,1,http://localhost:3000/api/messages,6,0,2
1747424004337,5,HTTP Request,201,Created,Thread Group 1-40,text,true,,382,244,1,1,http://localhost:3000/api/messages,5,0,1
1747424004428,7,HTTP Request,201,Created,Thread Group 1-41,text,true,,377,239,1,1,http://localhost:3000/api/messages,7,0,1
1747424004517,6,HTTP Request,201,Created,Thread Group 1-42,text,true,,376,238,1,1,http://localhost:3000/api/messages,6,0,1
1747424004609,6,HTTP Request,201,Created,Thread Group 1-43,text,true,,385,247,1,1,http://localhost:3000/api/messages,6,0,1
1747424004701,6,HTTP Request,201,Created,Thread Group 1-44,text,true,,408,270,1,1,http://localhost:3000/api/messages,6,0,1
1747424004795,6,HTTP Request,201,Created,Thread Group 1-45,text,true,,385,247,1,1,http://localhost:3000/api/messages,6,0,1
1747424004888,6,HTTP Request,201,Created,Thread Group 1-46,text,true,,375,237,1,1,http://localhost:3000/api/messages,6,0,1
1747424004985,7,HTTP Request,201,Created,Thread Group 1-47,text,true,,385,247,1,1,http://localhost:3000/api/messages,7,0,1
1747424005078,6,HTTP Request,201,Created,Thread Group 1-48,text,true,,367,230,1,1,http://localhost:3000/api/messages,5,0,1
1747424005168,7,HTTP Request,201,Created,Thread Group 1-49,text,true,,391,253,1,1,http://localhost:3000/api/messages,7,0,1
1747424005261,6,HTTP Request,201,Created,Thread Group 1-50,text,true,,439,301,1,1,http://localhost:3000/api/messages,6,0,2
1747424005357,6,HTTP Request,201,Created,Thread Group 1-51,text,true,,374,236,1,1,http://localhost:3000/api/messages,6,0,2
1747424005447,7,HTTP Request,201,Created,Thread Group 1-52,text,true,,390,252,1,1,http://localhost:3000/api/messages,7,0,1
1747424005543,6,HTTP Request,201,Created,Thread Group 1-53,text,true,,388,250,1,1,http://localhost:3000/api/messages,6,0,1
1747424005635,3,HTTP Request,201,Created,Thread Group 1-54,text,true,,392,254,1,1,http://localhost:3000/api/messages,3,0,0
1747424005726,5,HTTP Request,201,Created,Thread Group 1-55,text,true,,380,242,1,1,http://localhost:3000/api/messages,5,0,1
1747424005818,6,HTTP Request,201,Created,Thread Group 1-56,text,true,,388,250,1,1,http://localhost:3000/api/messages,6,0,1
1747424005916,6,HTTP Request,201,Created,Thread Group 1-57,text,true,,375,237,1,1,http://localhost:3000/api/messages,6,0,1
1747424006006,6,HTTP Request,201,Created,Thread Group 1-58,text,true,,370,233,1,1,http://localhost:3000/api/messages,6,0,1
1747424006098,6,HTTP Request,201,Created,Thread Group 1-59,text,true,,380,242,1,1,http://localhost:3000/api/messages,6,0,1
1747424006191,6,HTTP Request,201,Created,Thread Group 1-60,text,true,,375,237,1,1,http://localhost:3000/api/messages,6,0,1
1747424006285,6,HTTP Request,201,Created,Thread Group 1-61,text,true,,375,237,1,1,http://localhost:3000/api/messages,6,0,1
1747424006377,7,HTTP Request,201,Created,Thread Group 1-62,text,true,,384,246,1,1,http://localhost:3000/api/messages,7,0,1
1747424006469,4,HTTP Request,201,Created,Thread Group 1-63,text,true,,383,245,1,1,http://localhost:3000/api/messages,4,0,1
1747424006565,8,HTTP Request,201,Created,Thread Group 1-64,text,true,,380,242,1,1,http://localhost:3000/api/messages,7,0,2
1747424006655,6,HTTP Request,201,Created,Thread Group 1-65,text,true,,381,243,1,1,http://localhost:3000/api/messages,6,0,1
1747424006749,6,HTTP Request,201,Created,Thread Group 1-66,text,true,,397,259,1,1,http://localhost:3000/api/messages,6,0,1
1747424006842,6,HTTP Request,201,Created,Thread Group 1-67,text,true,,379,241,1,1,http://localhost:3000/api/messages,6,0,1
1747424006937,6,HTTP Request,201,Created,Thread Group 1-68,text,true,,375,237,1,1,http://localhost:3000/api/messages,6,0,1
1747424007033,6,HTTP Request,201,Created,Thread Group 1-69,text,true,,371,234,1,1,http://localhost:3000/api/messages,6,0,1
