timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748277246377,119,HTTP Request,201,Created,Thread Group 1-2,text,true,,479,233,3,3,http://localhost:8000/api/messages,118,0,1
1748277246362,134,HTTP Request,201,Created,Thread Group 1-1,text,true,,479,233,3,3,http://localhost:8000/api/messages,133,0,16
1748277246472,58,HTTP Request,201,Created,Thread Group 1-3,text,true,,483,237,1,1,http://localhost:8000/api/messages,58,0,1
1748277246561,76,HTTP Request,201,Created,Thread Group 1-4,text,true,,479,233,1,1,http://localhost:8000/api/messages,76,0,1
1748277246653,63,HTTP Request,201,Created,Thread Group 1-5,text,true,,487,241,1,1,http://localhost:8000/api/messages,62,0,0
1748277246746,67,HTTP Request,201,Created,Thread Group 1-6,text,true,,479,233,1,1,http://localhost:8000/api/messages,67,0,1
1748277246839,64,HTTP Request,201,Created,Thread Group 1-7,text,true,,487,241,1,1,http://localhost:8000/api/messages,63,0,1
1748277246934,69,HTTP Request,201,Created,Thread Group 1-8,text,true,,478,232,1,1,http://localhost:8000/api/messages,68,0,1
1748277247024,68,HTTP Request,201,Created,Thread Group 1-9,text,true,,484,238,1,1,http://localhost:8000/api/messages,68,0,1
1748277247117,56,HTTP Request,201,Created,Thread Group 1-10,text,true,,559,314,1,1,http://localhost:8000/api/messages,56,0,1
1748277247214,91,HTTP Request,201,Created,Thread Group 1-11,text,true,,479,233,2,2,http://localhost:8000/api/messages,90,0,1
1748277247305,68,HTTP Request,201,Created,Thread Group 1-12,text,true,,479,233,1,1,http://localhost:8000/api/messages,68,0,0
1748277247397,59,HTTP Request,201,Created,Thread Group 1-13,text,true,,479,233,1,1,http://localhost:8000/api/messages,59,0,1
1748277247492,69,HTTP Request,201,Created,Thread Group 1-14,text,true,,492,246,1,1,http://localhost:8000/api/messages,69,0,2
1748277247580,67,HTTP Request,201,Created,Thread Group 1-15,text,true,,480,234,1,1,http://localhost:8000/api/messages,66,0,1
1748277247675,79,HTTP Request,201,Created,Thread Group 1-16,text,true,,479,233,1,1,http://localhost:8000/api/messages,78,0,1
1748277247766,55,HTTP Request,201,Created,Thread Group 1-17,text,true,,494,248,1,1,http://localhost:8000/api/messages,55,0,1
1748277247858,65,HTTP Request,201,Created,Thread Group 1-18,text,true,,547,301,1,1,http://localhost:8000/api/messages,64,0,1
1748277247958,63,HTTP Request,201,Created,Thread Group 1-19,text,true,,493,247,1,1,http://localhost:8000/api/messages,63,0,1
